,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Beta2[35],0.028,1.072,-2.037,1.953,0.008,0.005,19582.0,19582.0,19585.0,18851.0,
Beta2[36],-0.01,1.082,-2.049,2.003,0.008,0.006,19844.0,18964.0,19844.0,19509.0,
Beta2[37],0.001,1.078,-2.02,2.049,0.008,0.005,20132.0,19874.0,20136.0,19286.0,
Beta2[38],-0.006,1.082,-2.0,2.032,0.008,0.005,19964.0,19964.0,19965.0,20216.0,
Beta2[39],-0.024,1.081,-1.984,2.027,0.008,0.005,19680.0,19680.0,19672.0,19556.0,
Beta3[0],0.003,1.088,-2.094,2.007,0.008,0.005,20516.0,20077.0,20514.0,19293.0,
Beta3[1],0.408,0.947,-1.324,2.22,0.007,0.005,19793.0,19758.0,19768.0,19511.0,
Beta3[2],0.017,1.071,-1.928,2.082,0.007,0.005,20475.0,19962.0,20474.0,20004.0,
Beta3[3],0.013,1.083,-2.03,2.056,0.008,0.006,20323.0,19243.0,20319.0,19168.0,
Beta3[4],0.297,0.65,-0.897,1.534,0.005,0.003,19930.0,18982.0,19932.0,18882.0,
