,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Beta4[18],-0.694,0.322,-1.303,-0.099,0.002,0.002,19602,19602,19601,19714,
Beta4[19],-1.083,0.311,-1.655,-0.492,0.002,0.002,19968,19968,19961,20038,
Beta4[20],-0.503,0.419,-1.288,0.281,0.003,0.002,19758,19316,19762,19893,
Beta4[21],-0.449,0.491,-1.399,0.441,0.004,0.003,18717,18717,18714,18910,
Beta4[22],-0.79,0.506,-1.746,0.148,0.004,0.003,20070,19666,20067,19409,
Beta4[23],-0.281,0.56,-1.389,0.716,0.004,0.003,19429,19429,19451,19116,
Beta4[24],-0.019,0.527,-0.996,0.975,0.004,0.003,19550,19550,19548,20051,
Beta4[25],-0.387,0.797,-1.855,1.148,0.006,0.004,20254,19890,20256,20002,
Beta4[26],-0.385,0.8,-1.835,1.187,0.006,0.004,19871,19512,19870,19641,
Beta4[27],-0.382,0.789,-1.867,1.087,0.006,0.004,19601,19315,19619,19472,
Beta4[28],-0.487,0.573,-1.567,0.591,0.004,0.003,19084,19084,19075,19038,
Beta4[29],-0.388,0.808,-1.922,1.123,0.006,0.004,20184,20170,20185,19653,
Beta4[30],-0.354,0.537,-1.344,0.662,0.004,0.003,20304,20240,20275,19154,
Beta4[31],-0.376,0.803,-1.848,1.165,0.006,0.004,19713,19713,19710,19519,
Beta4[32],-0.372,0.797,-1.837,1.153,0.006,0.004,20302,19924,20305,19632,
Beta4[33],-0.402,0.808,-1.933,1.101,0.006,0.004,19451,18863,19454,19552,
Beta4[34],-0.402,0.801,-1.849,1.156,0.006,0.004,19989,19989,20002,19889,
Beta4[35],-0.385,0.807,-1.863,1.161,0.006,0.004,18561,18561,18570,19440,
Beta4[36],-0.39,0.805,-1.904,1.123,0.006,0.004,19758,19152,19754,19959,
Beta4[37],-0.391,0.796,-1.902,1.099,0.006,0.004,19115,18859,19116,19401,
Beta4[38],-0.369,0.797,-1.857,1.129,0.006,0.004,19608,19608,19612,19755,
Beta4[39],-0.417,0.799,-1.829,1.174,0.006,0.004,18787,18787,18780,19797,
Beta5[0],-0.026,1.085,-2.006,2.072,0.008,0.005,19561,19561,19559,19919,
Beta5[1],-0.012,1.082,-2.07,1.993,0.008,0.006,18978,18978,18988,19592,
Beta5[2],0.528,0.907,-1.164,2.243,0.006,0.005,19711,18158,19735,18317,
Beta5[3],0.002,1.084,-2.063,2.006,0.008,0.005,19896,19568,19892,19222,
Beta5[4],0.021,1.084,-2.071,1.99,0.008,0.006,19363,19363,19366,19753,
Beta5[5],-0.007,1.087,-2.067,2.026,0.008,0.006,20352,19462,20354,19417,
Beta5[6],-0.001,1.086,-2.006,2.067,0.008,0.006,19601,19345,19609,19800,
Beta5[7],-0.36,0.619,-1.525,0.792,0.004,0.003,19495,19393,19493,19144,
Beta5[8],0.054,0.49,-0.868,0.967,0.003,0.002,19702,19455,19702,19459,
